127.0.0.1 - - [08/Jan/2025:08:35:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:22 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302401879&lcd=MT&mcd=EQFCTPCD&page=1&start=0&limit=25 HTTP/1.1" 200 84273
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:23 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736302403735&code=MT&defaultCheck=Y&gridReference=refEquipmentDetailUploadGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:23 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403736&lcd=MT&mcd=EQFCTPCD&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:23 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403740&searchType=BERTH_LOC&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:23 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403743&lcd=MT&mcd=MNFR&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:23 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403749&lcd=MT&mcd=STOPRSNCD&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:23 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403745&lcd=MT&mcd=EQFCSTAT&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:23 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/equipment/filelist?_dc=1736302403752&pgmId=CF106&catgCd=&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736302403735&code=MT&defaultCheck=Y&gridReference=refEquipmentDetailUploadGrid&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403749&lcd=MT&mcd=STOPRSNCD&page=1&start=0&limit=25 HTTP/1.1" 200 10410
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403736&lcd=MT&mcd=EQFCTPCD&page=1&start=0&limit=25 HTTP/1.1" 200 84273
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403743&lcd=MT&mcd=MNFR&page=1&start=0&limit=25 HTTP/1.1" 200 90813
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403745&lcd=MT&mcd=EQFCSTAT&page=1&start=0&limit=25 HTTP/1.1" 200 13810
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736302403740&searchType=BERTH_LOC&page=1&start=0&limit=25 HTTP/1.1" 200 452397
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:13:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/equipment/filelist?_dc=1736302403752&pgmId=CF106&catgCd=&page=1&start=0&limit=100 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:24 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/auth/checkSession?_dc=1736302524032 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:24 +0700] "POST /MOST_MMC_JPB_Web/rest/auth/checkSession?_dc=1736302524032 HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:24 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/basic/profile?_dc=1736302524311&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/basic/profile?_dc=1736302524311&page=1&start=0&limit=25 HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:24 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736302524476&userId=KSPTARSYAD&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:24 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736302524476&userId=KSPTARSYAD&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 75287
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:25 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1736302525132&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:25 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/favourites?_dc=1736302525504&userId=KSPTARSYAD&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
