127.0.0.1 - - [25/Nov/2024:08:24:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:07 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987818&lcd=MT&mcd=HTC&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:07 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987825&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:07 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987833&lcd=MT&mcd=CGTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:07 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987841&lcd=MT&mcd=DELVTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:07 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987847&lcd=MT&mcd=HTC&scd=&searchType=CARGO_HHT_HATCH_NO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:07 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/popup/yardtruckpopup?_dc=1732498987851&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:07 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/cargodischarging/cargoDischargingList?_dc=1732498987858&vslCallId=ASHL&cgTpCd=BBK&startDtStr=10%2F24%2F2024%2007%3A00&endDtStr=10%2F24%2F2024%2014%3A59&blNo=BLLV1&searchType=discharging&gateTxnNo=&sdoNo=&hhtFlags=1STLD&workYmd=20241024&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:09 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987825&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 16252
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:09 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987818&lcd=MT&mcd=HTC&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 35196
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:09 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987841&lcd=MT&mcd=DELVTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 9894
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:09 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987833&lcd=MT&mcd=CGTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 38538
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:09 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498987847&lcd=MT&mcd=HTC&scd=&searchType=CARGO_HHT_HATCH_NO&page=1&start=0&limit=25 HTTP/1.1" 200 34965
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:09 +0700] "GET /MOST_PPSB_Web/rest/v1/popup/yardtruckpopup?_dc=1732498987851&page=1&start=0&limit=25 HTTP/1.1" 200 49813
