127.0.0.1 - - [10/Dec/2024:08:20:39 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:46:17 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/rehandleGC/cargoRehandling/MOST.model.foundation.parm.UpdateBizParm-1?_dc=1733795177848 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:46:38 +0700] "PUT /MOST_PPSB_Web/rest/v1/rehandleGC/cargoRehandling/MOST.model.foundation.parm.UpdateBizParm-1?_dc=1733795177848 HTTP/1.1" 401 720
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:52 +0700] "OPTIONS /MOST_PPSB_Web/rest/auth/token?_dc=1733795332755 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:54 +0700] "POST /MOST_PPSB_Web/rest/auth/token?_dc=1733795332755 HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:54 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733795334310&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:54 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733795334310&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 74597
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:54 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733795334886&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:54 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/favourites?_dc=1733795334950&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:55 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/favourites?_dc=1733795334950&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:55 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733795335342&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:55 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733795334886&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 129348
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:55 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733795335342&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 129348
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:55 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/basic/profile?_dc=1733795335825&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:48:56 +0700] "GET /MOST_PPSB_Web/rest/v1/basic/profile?_dc=1733795335825&page=1&start=0&limit=25 HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733795354444&userId=MOSTADMIN&menuId=MPCT122&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:14 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733795354444&userId=MOSTADMIN&menuId=MPCT122&page=1&start=0&limit=25 HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1733795354954&code=MT&defaultCheck=Y&gridReference=refRehandleGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1733795354955&code=MT&defaultCheck=Y&gridReference=refRehandleDataGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733795354960&userId=MOSTADMIN&menuId=MPCT122&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/rehandleGC/comboList?_dc=1733795354957&searchType=initComboList&screanNm=RHDL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:15 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733795354960&userId=MOSTADMIN&menuId=MPCT122&page=1&start=0&limit=25 HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:15 +0700] "GET /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1733795354955&code=MT&defaultCheck=Y&gridReference=refRehandleDataGrid&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:15 +0700] "GET /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1733795354954&code=MT&defaultCheck=Y&gridReference=refRehandleGrid&page=1&start=0&limit=25 HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:49:15 +0700] "GET /MOST_PPSB_Web/rest/v1/rehandleGC/comboList?_dc=1733795354957&searchType=initComboList&screanNm=RHDL&page=1&start=0&limit=25 HTTP/1.1" 200 192538
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:50:39 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/rehandleGC/list?_dc=1733795439374&table=&id=MOST.model.operation.SearchRehandlingParm-1&rhdlNo=&blNo=&vslCallId=&orgRefNo=&orgVslCallId=&orgBlSn=&orgCgNo=&cgNo=&nxVslCallId=&nxRefNo=&nxGrNo=&opeClassCd=&caTgNm=&pkgQty=0&wgt=0&msrmt=0&stsYn=&orgGrNo=&rhdlMode=&rhdlModeNm=&updDt=&rhdlPkgQty=0&rhdlWgt=0&rhdlMsrmt=0&balPkgQty=0&balWgt=0&balMsrmt=0&chk=&no=0&userId=&cgCoCd=&spCaCoCd=&cgCoNm=&spCaCoNm=&rhdlChk=&shuYn=&dmgYn=&jobNo=&blSn=&cgTpCd=&nxCgNo=&shipgNoteNo=&searchType=rhdlOp&jobGroup=&jobRhdlNo=&stat=&statNm=&fnlLoadYn=&fnlHoYn=&grNo=&rhdlGroupNo=&rhdlGroupYn=&linked=&whLocIds=&delvTpCd=&stRhdl=&endRhdl=&shiftDt=&shiftId=&items=&yardInDateFrom=11%2F09%2F2024&yardInDateTo=10%2F12%2F2024&authoType=&userType=I&ptnrCode=%20&masterBlNo=&bookingNo=&cmdtGrCd=&cmdtCd=&pkgNo=&shipgAgentCd=&sort=&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:50:39 +0700] "GET /MOST_PPSB_Web/rest/v1/rehandleGC/list?_dc=1733795439374&table=&id=MOST.model.operation.SearchRehandlingParm-1&rhdlNo=&blNo=&vslCallId=&orgRefNo=&orgVslCallId=&orgBlSn=&orgCgNo=&cgNo=&nxVslCallId=&nxRefNo=&nxGrNo=&opeClassCd=&caTgNm=&pkgQty=0&wgt=0&msrmt=0&stsYn=&orgGrNo=&rhdlMode=&rhdlModeNm=&updDt=&rhdlPkgQty=0&rhdlWgt=0&rhdlMsrmt=0&balPkgQty=0&balWgt=0&balMsrmt=0&chk=&no=0&userId=&cgCoCd=&spCaCoCd=&cgCoNm=&spCaCoNm=&rhdlChk=&shuYn=&dmgYn=&jobNo=&blSn=&cgTpCd=&nxCgNo=&shipgNoteNo=&searchType=rhdlOp&jobGroup=&jobRhdlNo=&stat=&statNm=&fnlLoadYn=&fnlHoYn=&grNo=&rhdlGroupNo=&rhdlGroupYn=&linked=&whLocIds=&delvTpCd=&stRhdl=&endRhdl=&shiftDt=&shiftId=&items=&yardInDateFrom=11%2F09%2F2024&yardInDateTo=10%2F12%2F2024&authoType=&userType=I&ptnrCode=%20&masterBlNo=&bookingNo=&cmdtGrCd=&cmdtCd=&pkgNo=&shipgAgentCd=&sort=&page=1&start=0&limit=100 HTTP/1.1" 200 7764
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:50:43 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/rehandleGC/detailList?_dc=1733795443319&vslCallId=ASHL&orgRefNo=BLLVTS1&rhdlMode=&nxVslCallId=&nxRefNo=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Dec/2024:08:50:43 +0700] "GET /MOST_PPSB_Web/rest/v1/rehandleGC/detailList?_dc=1733795443319&vslCallId=ASHL&orgRefNo=BLLVTS1&rhdlMode=&nxVslCallId=&nxRefNo=&page=1&start=0&limit=25 HTTP/1.1" 200 4038
